REGIONE;PROVINCIA;DENOMINAZIONEISTITUTORIFERIMENTO;CODICESCUOLA;DENOMINAZIONESCUOLA;INDIRIZZOSCUOLA;CAPSCUOLA;DESCRIZIONECOMUNE;DESCRIZIONETIPOLOGIAGRADOISTRUZIONESCUOLA;INDIRIZZOEMAILSCUOLA;INDIRIZZOPECSCUOLA;SITOWEBSCUOLA
ABRUZZO;CHIETI;I. C. VASTO N.1;CHMM833014;PAOLUCCI - IC VASTO 1;VIA MADONNA DELL ASILO35;66054;VASTO;SCUOLA PRIMO GRADO;CHIC833003@istruzione.it;Non Disponibile;www.ic1vasto.gov.it
ABRUZZO;CHIETI;I. GONZAGA;CHPM02000G;I. GONZAGA;VIA DEI CELESTINI N. 4;66100;CHIETI;ISTITUTO MAGISTRALE;CHPM02000G@istruzione.it;chpm02000g@pec.istruzione.it;www.magistralechieti.gov.it
ABRUZZO;CHIETI;I. OMNICOMPR N. DA GUARDIAGRELE;CHMM062004;I. OMNICOMPR N. DA GUARDIAGRELE;VIA G.FARINA 1;66016;GUARDIAGRELE;SCUOLA PRIMO GRADO;CHMM062004@istruzione.it;chmm062004@pec.istruzione.it;www.omnicomprensivoguardiagrele.gov.it
ABRUZZO;CHIETI;"I.C. ""FRANCESCO PAOLO TOSTI""";CHAA84203R;SAN LEONARDO - ORTONA A MARE;Non Disponibile;66026;ORTONA;SCUOLA INFANZIA;CHIC84200T@istruzione.it;Non Disponibile;www.istitutocomprensivo2ortona.gov.it
ABRUZZO;CHIETI;"I.C. ""MARIO BOSCO""";CHMM840017;G.MAZZINI IC 1 LANCIANO;VIA MARTIRI 6 OTTOBRE 4;66034;LANCIANO;SCUOLA PRIMO GRADO;CHIC840006@istruzione.it;Non Disponibile;WWW.COMPRENSIVO1LANCIANO.GOV.ITCHIC840006@ISTRUZIONE.IT
ABRUZZO;CHIETI;"I.C. ""P.BORRELLI"" TORNARECCIO";CHAA817023;SCUOLA INFANZIA PIANE D'ARCHI;VIA DEGLI ULIVI;66040;ARCHI;SCUOLA INFANZIA;CHIC817005@istruzione.it;Non Disponibile;www.ictornareccio.gov.it
ABRUZZO;CHIETI;"I.C. ""P.S.ZIMARINO""";CHAA82001T;SCUOLA MATERNA - SCERNI;VIA IV NOVEMBRE 16;66020;SCERNI;SCUOLA INFANZIA;CHIC820001@istruzione.it;Non Disponibile;www.omnicomprensivoridolfizimarino.gov.it
ABRUZZO;CHIETI;I.C. BUCCHIANICO;CHAA81901N;COLLE MARCONE - BUCCHIANICO;C.DA COLLE MARCONE;66011;BUCCHIANICO;SCUOLA INFANZIA;CHIC81900R@istruzione.it;Non Disponibile;http//www.istitutobucchianico.edu.it/index.php
ABRUZZO;CHIETI;"I.C. CASOLI ""G. DE PETRA""";CHAA80604P;SELVA - ALTINO;VIA TEOFILO PATINI 40;66040;ALTINO;SCUOLA INFANZIA;CHIC80600P@istruzione.it;Non Disponibile;www.icdepetra.gov.it
ABRUZZO;CHIETI;I.C. CASTEL FRENTANO;CHMM81402Q;SANT'EUSANIO D.S. - IC CASTELFR;PIAZZA CESARE DE TITTA;66037;SANT'EUSANIO DEL SANGRO;SCUOLA PRIMO GRADO;CHIC81400N@istruzione.it;Non Disponibile;iccastelfrentano.gov.it
ABRUZZO;CHIETI;I.C. CASTIGLIONE M.M.-CARUNCHIO;CHEE81601B;CASTIGLIONE MESSER MARINO;VIA ISTONIA 26;66033;CASTIGLIONE MESSER MARINO;SCUOLA PRIMARIA;CHIC816009@istruzione.it;Non Disponibile;www.iccastiglionemm.gov.it
ABRUZZO;CHIETI;I.C. FARA FILIORUM PETRI;CHMM83004Q;ROCCAMONTEPIANO -IC FARA FP;VIA DELLE SCUOLE RIUNITE N.27;66010;ROCCAMONTEPIANO;SCUOLA PRIMO GRADO;CHIC83000G@istruzione.it;Non Disponibile;WWW.ICFARAFPETRI.GOV.IT
ABRUZZO;CHIETI;"I.C. FOSSACESIA ""P.D.POLLIDORI""";CHAA80703D;RODOLFO ROMAGNOLI - MOZZAGROGNA;VIA PRINCIPALE N. 1;66030;MOZZAGROGNA;SCUOLA INFANZIA;CHIC80700E@istruzione.it;Non Disponibile;www.icfossacesia.gov.it
ABRUZZO;CHIETI;"I.C. FRANCAVILLA ""F. MASCI""";CHIC82800G;"I.C. FRANCAVILLA ""F. MASCI""";VIA ZARA;66023;FRANCAVILLA AL MARE;ISTITUTO COMPRENSIVO;CHIC82800G@istruzione.it;chic82800g@pec.istruzione.it;Non Disponibile
ABRUZZO;CHIETI;I.C. G.GALILEI - S.GIOV.TEATINO;CHAA811046;S.GIOVANNI T. - VIA V.EMANUELE;VIA VITTORIO EMANUELE;66020;SAN GIOVANNI TEATINO;SCUOLA INFANZIA;CHIC811006@istruzione.it;Non Disponibile;www.istitutocomprensivosgt.gov.it
ABRUZZO;CHIETI;"I.C. LANCIANO ""DON L.MILANI""";CHAA839064;FRISA CAPOLUOGO;VIA DA DENOMINARE;66030;FRISA;SCUOLA INFANZIA;CHIC839002@istruzione.it;Non Disponibile;iclanciano2donmilani
ABRUZZO;CHIETI;"I.C. LANCIANO ""G. D'ANNUNZIO""";CHMM80801B;"""G. D'ANNUNZIO"" - IC LANCIANO";VIA MASCIANGELO 5;66034;LANCIANO;SCUOLA PRIMO GRADO;CHIC80800A@istruzione.it;Non Disponibile;http//www.dannunziolanciano.edu.it/
ABRUZZO;CHIETI;I.C. MIGLIANICO;CHEE82203R;SC. PRIMARIA GIULIANO TEATINO;VIA FIORAVANTE FLACCO;66010;GIULIANO TEATINO;SCUOLA PRIMARIA;CHIC82200L@istruzione.it;Non Disponibile;www.icmiglianico.gov.it
ABRUZZO;CHIETI;I.C. MONTEODORISIO;CHAA824015;INFANZIA MONTEODORISIO;LARGO MADONNA DELLE GRAZIE;66050;MONTEODORISIO;SCUOLA INFANZIA;CHIC824008@istruzione.it;Non Disponibile;www.icmonteodorisio.it
ABRUZZO;CHIETI;I.C. ORSOGNA;CHMM82301D;I.C. ORSOGNA;VIA TRENTO E TRIESTE;66036;ORSOGNA;SCUOLA PRIMO GRADO;CHIC82300C@istruzione.it;Non Disponibile;www.istitutocomprensivoorsogna.it
ABRUZZO;CHIETI;"I.C. PAGLIETA ""B. CROCE""";CHAA809035;SANT'ANGELO - TORINO DI SANGRO;Non Disponibile;66020;TORINO DI SANGRO;SCUOLA INFANZIA;CHIC809006@istruzione.it;Non Disponibile;www.icpaglieta.gov.it
ABRUZZO;CHIETI;I.C. PALENA-TORRIC. PELIGNA;CHAA825022;FARA SAN MARTINO CAP.;VIALE MAIELLA;66015;FARA SAN MARTINO;SCUOLA INFANZIA;CHIC825004@istruzione.it;Non Disponibile;www.icpalenatorricella.edu.it
ABRUZZO;CHIETI;"I.C. QUADRI ""B.CROCE""";CHAA82601R;QUADRI CAP.;VIA AIA;66040;QUADRI;SCUOLA INFANZIA;CHIC82600X@istruzione.it;Non Disponibile;www.icquadri.it
ABRUZZO;CHIETI;I.C. RIPA TEATINA M.BUONARROTI;CHMM81002C;TORREVECCHIA TEAT. -IC RIPA TEA;VIA ROMA 66;66010;TORREVECCHIA TEATINA;SCUOLA PRIMO GRADO;CHIC81000A@istruzione.it;Non Disponibile;ICRIPATORREVECCHIA.EDU.IT
ABRUZZO;CHIETI;I.C. S.VITO CHIET.G.D'ANNUNZIO;CHAA81202X;SAN APOLLINARE INFANZIA;VIA CALVARIO;66030;SAN VITO CHIETINO;SCUOLA INFANZIA;CHIC812002@istruzione.it;Non Disponibile;www.icsanvito.edu.it
ABRUZZO;CHIETI;I.C. SAN SALVO N.1;CHAA832014;VIA FIRENZE - SAN SALVO;VIA FIRENZE;66050;SAN SALVO;SCUOLA INFANZIA;CHIC832007@istruzione.it;Non Disponibile;www.icsalvodacquisto.gov.it
ABRUZZO;CHIETI;I.C. SAN SALVO N.2;CHAA84303L;MARINA - SAN SALVO;VIA MARCO POLO 9;66050;SAN SALVO;SCUOLA INFANZIA;CHIC84300N@istruzione.it;Non Disponibile;www.icsansalvo2.gov.it
ABRUZZO;CHIETI;"I.C. TOLLO ""N. NICOLINI""";CHAA81304T;CANOSA SANNITA CAPOLUOGO;VIA DEGLI EROI;66010;CANOSA SANNITA;SCUOLA INFANZIA;CHIC81300T@istruzione.it;Non Disponibile;www.istitutocomprensivotollo.it
ABRUZZO;CHIETI;I.I.S. PANTINI-PUDENTE;CHPC014015;"""L. V. PUDENTE""";VIA D.G. ROSSETTI 2;66054;VASTO;LICEO CLASSICO;CHIS01400T@istruzione.it;Non Disponibile;http//www.liceopudente.gov.it
ABRUZZO;CHIETI;"I.OMNICOMPR.""CIAMPOLI-SPAVENTA""";CHAA81802V;RIONE MERIDIONALE;VIA LUIGI CINALLI N? 17;66041;ATESSA;SCUOLA INFANZIA;CHIC818001@istruzione.it;Non Disponibile;www.comprensivociampoli.it
ABRUZZO;CHIETI;IC LANCIANO UMBERTO I;CHEE83104L;"OSPEDALE ""RENZETTI""";VIA PER FOSSACESIA 1;66034;LANCIANO;SCUOLA PRIMARIA;CHIC83100B@istruzione.it;Non Disponibile;WWW.ICFARAFPETRI.IT
ABRUZZO;CHIETI;IST OMN. R. MATTIOLI-S.D'ACQUISTO;CHRI00701A;"IPSIA - SEDE AGGR. I.I.S. ""R. MATTIOLI""";VIA MONTEGRAPPA 69 BIS;66050;SAN SALVO;IST PROF INDUSTRIA E ARTIGIANATO;CHIS00700P@istruzione.it;Non Disponibile;www.ismattiolisansalvo.gov.it
ABRUZZO;CHIETI;IST. COMPRENSIVO F.P. MICHETTI;CHIC82700Q;IST. COMPRENSIVO F.P. MICHETTI;VIALE GABRIELE D'ANNUNZIO 58/B;66023;FRANCAVILLA AL MARE;ISTITUTO COMPRENSIVO;CHIC82700Q@istruzione.it;chic82700q@pec.istruzione.it;Non Disponibile
ABRUZZO;CHIETI;"IST. OMNICOMPR "" RIDOLFI -ZIMARINO """;CHTA02000X;"IST. OMNICOMPR "" RIDOLFI -ZIMARINO """;C.DA COLLE COMUNE 1;66020;SCERNI;ISTITUTO TECNICO AGRARIO;CHTA02000X@istruzione.it;chta02000x@pec.istruzione.it;www.omnicomprensivoridolfizimarino.gov.it
ABRUZZO;CHIETI;"ISTITUTO ISTRUZIONE SUPERIORE ""A. VOLTA""";CHPC01701L;LICEO CLASSICO A. VOLTA;VIA PAPA GIOVANNI XXIII;66026;ORTONA;LICEO CLASSICO;CHIS017009@istruzione.it;Non Disponibile;http//www.liceoavolta.it
ABRUZZO;CHIETI;"ISTITUTO OMNICOMPRENSIVO ""G. SPATARO""";CHTD07002D;ITE CASALBORDINO;VIA DEL SOLE 21;66021;CASALBORDINO;ISTITUTO TECNICO COMMERCIALE;CHTD07000B@istruzione.it;Non Disponibile;www.omnicomprensivospataro.it
ABRUZZO;CHIETI;"ITI-LICEO SCIENTIFICO "" MATTEI """;CHIS013002;"ITI-LICEO SCIENTIFICO "" MATTEI """;VIA SAN ROCCO;66054;VASTO;ISTITUTO SUPERIORE;CHIS013002@istruzione.it;chis013002@pec.istruzione.it;Non Disponibile
ABRUZZO;CHIETI;LICEO ARTISTICO NICOLA DA GUARDIAGRELE;CHSD070002;LICEO ARTISTICO NICOLA DA GUARDIAGRELE;VIALE ABRUZZO 322;66100;CHIETI;ISTITUTO D'ARTE;CHSD070002@istruzione.it;Non Disponibile;http//www.convittogbvico.gov.it
ABRUZZO;CHIETI;"LICEO CLASSICO ""G.B.VICO""";CHPC06000T;"LICEO CLASSICO ""G.B.VICO""";CORSO MARRUCINO 137;66100;CHIETI;LICEO CLASSICO;CHPC06000T@istruzione.it;Non Disponibile;www.convittonazionalevicochieti.it
ABRUZZO;CHIETI;LICEO SCIENTIFICO E ITET GUARDIAGRELE;CHPS02101B;LICEO SCIENTIFICO STATALE GUARDIAGRELE;VIA GRELE 24/B;66016;GUARDIAGRELE;LICEO SCIENTIFICO;CHIS021001@istruzione.it;Non Disponibile;www.scientificogalileilanciano.edu.it
ABRUZZO;CHIETI;"POLO LICEALE STATALE ""R. MATTIOLI""";CHPS030005;"POLO LICEALE STATALE ""R. MATTIOLI""";VIA S. ROCCO;66054;VASTO;LICEO SCIENTIFICO;CHPS030005@istruzione.it;chps030005@pec.istruzione.it;www.liceoscientificovasto.gov.it
ABRUZZO;CHIETI;SMS G.B. VICO;CHMM00800B;SMS G.B. VICO;C.SO MARRUCINO 135/137;66100;CHIETI;SCUOLA PRIMO GRADO;CHMM00800B@istruzione.it;Non Disponibile;www.convittogbvico.edu.it
ABRUZZO;CHIETI;SPAVENTA;CHTD006015;"""SPAVENTA"" ATESSA";VIALE DELLA STAZIONE 9;66041;ATESSA;ISTITUTO TECNICO COMMERCIALE;CHIS00600V@istruzione.it;Non Disponibile;www.omnicomprensivoatessa.gov.it
ABRUZZO;CHIETI;U. POMILIO CHIETI;CHIS01600D;U. POMILIO CHIETI;VIA COLONNETTA 124;66100;CHIETI;ISTITUTO SUPERIORE;CHIS01600D@istruzione.it;chis01600d@pec.istruzione.it;Non Disponibile
ABRUZZO;CHIETI;V.EMANUELE II LANCIANO;CHIS00900A;V.EMANUELE II LANCIANO;VIA BOLOGNA N. 8;66034;LANCIANO;ISTITUTO SUPERIORE;CHIS00900A@istruzione.it;chis00900a@pec.istruzione.it;Non Disponibile
ABRUZZO;CHIETI;VILLA SANTA MARIA;CHVC04000X;VILLA SANTA MARIA;VIA ROMA 18 18/BIS E VIA DELLA VITTORIA SNC;66047;VILLA SANTA MARIA;CONVITTO ANNESSO;CHVC04000X@istruzione.it;Non Disponibile;Non Disponibile
ABRUZZO;L'AQUILA;"""ANDREA ARGOLI""";AQTD08000L;"""ANDREA ARGOLI""";VIA G. MARCONI 51;67069;TAGLIACOZZO;ISTITUTO TECNICO COMMERCIALE;AQTD08000L@istruzione.it;Non Disponibile;http//istitutoturisticoargoli.it
ABRUZZO;L'AQUILA;"""BENEDETTO CROCE""";AQPM01000G;"""BENEDETTO CROCE""";VIA CAVALIERI DI VITTORIO VENETO9;67051;AVEZZANO;ISTITUTO MAGISTRALE;AQPM01000G@istruzione.it;aqpm01000g@pec.istruzione.it;LICEO STATALE B.CROCE
ABRUZZO;L'AQUILA;"""DOMENICO COTUGNO""";AQPC040007;"""DOMENICO COTUGNO""";VIA LEONARDO DA VINCI 8;67100;L'AQUILA;LICEO CLASSICO;AQPC040007@istruzione.it;Non Disponibile;WWW.LICEOCOTUGNO.IT
ABRUZZO;L'AQUILA;"""MONSIGNOR EDMONDO DE PANFILIS""";AQRH01050N;I.P.SERV. ALBE.E RIST.NE -CORSO SERALE;STRADA STATALE 17;Non Disponibile;ROCCARASO;IST PROF PER I SERVIZI ALBERGHIERI E RISTORAZIONE;AQRH010008@istruzione.it;Non Disponibile;www.roccaipssar.it
ABRUZZO;L'AQUILA;"""VITRUVIO POLLIONE""";AQPS03000Q;"""VITRUVIO POLLIONE""";VIA ALDO MORO 1;67051;AVEZZANO;LICEO SCIENTIFICO;AQPS03000Q@istruzione.it;aqps03000q@pec.istruzione.it;scientificoaz.it
ABRUZZO;L'AQUILA;"""VITTORIO EMANUELE II""";AQPM050002;"""VITTORIO EMANUELE II""";VIA LEONARDO DA VINCI 8;67100;L'AQUILA;ISTITUTO MAGISTRALE;AQPM050002@istruzione.it;Non Disponibile;WWW.LICEOCOTUGNO.IT
ABRUZZO;L'AQUILA;ALDA MERINI;AQIC837001;ALDA MERINI;VIA NICOLA MANCINI18;67031;CASTEL DI SANGRO;ISTITUTO COMPRENSIVO;AQIC837001@istruzione.it;aqic837001@pec.istruzione.it;Non Disponibile
ABRUZZO;L'AQUILA;CARSOLI;AQPS050001;CARSOLI;S.S. TIBURTINA VALERIA KM 68/700;67061;CARSOLI;LICEO SCIENTIFICO;AQPS050001@istruzione.it;Non Disponibile;WWW.OMNICOMPRENSIVOCARSOLI.GOV.IT
ABRUZZO;L'AQUILA;CD CARSOLI;AQEE026115;ROCCA DI BOTTE CAP.;VIA REGINA ELENA;67066;ROCCA DI BOTTE;SCUOLA PRIMARIA;AQEE02600L@istruzione.it;Non Disponibile;www.omnicomprensivocarsoli.gov.it
ABRUZZO;L'AQUILA;CD TAGLIACOZZO;AQEE05212P;VIA MARCONI - TAGLIACOZZO CAP.;VIA MARCONI;67069;TAGLIACOZZO;SCUOLA PRIMARIA;AQEE052005@istruzione.it;Non Disponibile;www.istitutoturisticoargoli
ABRUZZO;L'AQUILA;CONVITTO ROCCARASO;AQVC04000E;CONVITTO ROCCARASO;Non Disponibile;67037;ROCCARASO;CONVITTO ANNESSO;AQVC04000E@istruzione.it;Non Disponibile;Non Disponibile
ABRUZZO;L'AQUILA;CPIA L'AQUILA;AQCT70300P;CENTRO TERRITORIALE N.4;VIA SANGRO SNC;67031;CASTEL DI SANGRO;CENTRO TERRITORIALE;AQMM074001@istruzione.it;Non Disponibile;Non Disponibile
ABRUZZO;L'AQUILA;D. COTUGNO;AQVC050005;D. COTUGNO;VIA PASQUALE FICARA 9;67100;L'AQUILA;CONVITTO NAZIONALE;AQVC050005@istruzione.it;aqvc050005@pec.istruzione.it;Non Disponibile
ABRUZZO;L'AQUILA;"I.C. ""SAN GIOVANNI BOSCO""";AQAA82501G;SCUOLA INFANZIA CASALI D'ASCHI;VIA GUALTRONE;67055;GIOIA DEI MARSI;SCUOLA INFANZIA;AQIC82500P@istruzione.it;Non Disponibile;www.icssangiovannibosco.it
ABRUZZO;L'AQUILA;I.C. CORRADINI -POMILIO;AQMM84101N;SCUOLA SEC.I GRADO C.CORRADINI;VIA CORRADINI N. 132;67051;AVEZZANO;SCUOLA PRIMO GRADO;AQIC84100L@istruzione.it;Non Disponibile;www.corradinipomilio.gov.it
ABRUZZO;L'AQUILA;I.C. N. 1 G.MAZZINI-E.FERMI;AQEE84001V;"""AGOSTINO PERSIA""";VIA CAIROLI;67051;AVEZZANO;SCUOLA PRIMARIA;AQIC84000R@istruzione.it;Non Disponibile;www.ic.mazzinifermi.gov.it
ABRUZZO;L'AQUILA;"I.C. N. 4 ""C. COLLODI-L.MARINI""";AQMM843019;"S.M. ""L. MARINI""";VIA BOLZANO 29;67051;AVEZZANO;SCUOLA PRIMO GRADO;AQIC843008@istruzione.it;Non Disponibile;www.istitutocomprensivocollodimarini.it
ABRUZZO;L'AQUILA;I.C. 'SERAFINI - L. DI STEFANO';AQMM836016;S.M. P. SERAFINI;VIA ALESSANDRO VOLTA 9;67039;SULMONA;SCUOLA PRIMO GRADO;AQIC836005@istruzione.it;Non Disponibile;http/wwwserafinidistefano.gov.it
ABRUZZO;L'AQUILA;I.C. VIVENZA- GIOVANNI XXIII;AQEE84201E;BORGO PINETA;Non Disponibile;67051;AVEZZANO;SCUOLA PRIMARIA;AQIC84200C@istruzione.it;Non Disponibile;wwwic3avezzano.it
ABRUZZO;L'AQUILA;"I.C.""LOMBARDO RADICE""-""OVIDIO""";AQAA83505A;"SCUOLA INFANZIA ""DON BOSCO""";VIA DELLA CORNACCHIOLA SNC;67039;SULMONA;SCUOLA INFANZIA;AQIC835009@istruzione.it;Non Disponibile;www.icradiceovidio.gov.it
ABRUZZO;L'AQUILA;"I.I.S ""A. BAFILE""";AQPS018016;LICEO SCIENTIFICO A. BAFILE;VIA ACQUASANTA N. 16;67100;L'AQUILA;LICEO SCIENTIFICO;AQIS01800Q@istruzione.it;Non Disponibile;www.iisbafile.gov.it
ABRUZZO;L'AQUILA;"I.I.S. "" L. DA VINCI - O. COLECCHI""";AQRC007018;I.P.C.;VIA ACQUASANTA;67100;L'AQUILA;IST PROF PER I SERVIZI COMMERCIALI;AQIS007009@istruzione.it;Non Disponibile;www.iisdavincicolecchiaq.gov.it
ABRUZZO;L'AQUILA;"I.I.S. ""E. FERMI""";AQPS019012;"""ENRICO FERMI""";VIA TOGLIATTI;67039;SULMONA;LICEO SCIENTIFICO;AQIS01900G@istruzione.it;Non Disponibile;www.iisfermi.it
ABRUZZO;L'AQUILA;I.P.A.A. SERPIERI;AQIS01700X;I.P.A.A. SERPIERI;VIA BUONARROTI 1;67051;AVEZZANO;ISTITUTO SUPERIORE;AQIS01700X@istruzione.it;aqis01700x@pec.istruzione.it;www.itcrendina.it
ABRUZZO;L'AQUILA;"I.S.S. ""OVIDIO""";AQSD02101C;"LICEO ARTISTICO ""GENTILE MAZARA""";VIA SILVESTRO DI GIACOMO;67039;SULMONA;ISTITUTO D'ARTE;AQIS02100G@istruzione.it;Non Disponibile;http//iisovidio.org.it/
ABRUZZO;L'AQUILA;"IC ""G. DI GIROLAMO"" MAGLIANO M.";AQEE824011;MAGLIANO DEI MARSI CAP.;VIA POGGIO FILIPPO;67062;MAGLIANO DE' MARSI;SCUOLA PRIMARIA;AQIC82400V@istruzione.it;Non Disponibile;http//www.scuolamaglianodemarsi.it
